canonical_smiles,ligand_efficiency,pchembl_value,value,molecule_chembl_id,target_chembl_id,target_pref_name,target_organism
CC1=C(O)C(C)(Cc2ccc(Cl)c(Cl)c2)SC1=O,,,100.0,CHEMBL383600,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CCCCCCCCCCCCC1(C)SC(O)=C(C)C1=O,"{'bei': '12.80', 'le': '0.26', 'lle': '-2.16', 'sei': '10.72'}",4.0,100.0,CHEMBL199542,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CCCCCCCCCCC1(C)SC(O)=C(C)C1=O,"{'bei': '14.06', 'le': '0.29', 'lle': '-1.38', 'sei': '10.72'}",4.0,100.0,CHEMBL381463,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC1(C)SC(O)=C(C)C1=O,,,100.0,CHEMBL199771,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CC(C)=CCC/C(C)=C/CC1(C)SC(O)=C(C)C1=O,"{'bei': '14.26', 'le': '0.29', 'lle': '-0.93', 'sei': '10.72'}",4.0,100.0,CHEMBL197346,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CC1=C(O)C(C)(CC2CC2)SC1=O,,,100.0,CHEMBL200463,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CC[C@H](C)CC1(C)SC(O)=C(C)C1=O,,,100.0,CHEMBL370787,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CCCCCCCCCCCCCCC1(C)SC(O)=C(C)C1=O,"{'bei': '11.75', 'le': '0.24', 'lle': '-2.94', 'sei': '10.72'}",4.0,100.0,CHEMBL200655,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CCCCCCCCCCCCCC1(C)SC(O)=C(C)C1=O,"{'bei': '12.25', 'le': '0.25', 'lle': '-2.55', 'sei': '10.72'}",4.0,100.0,CHEMBL200803,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
C=C/C(C)=C/[C@@]1(C)SC(=O)C(C)=C1O,,,,CHEMBL399043,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CCCCCCCCC1(C)SC(O)=C(C)C1=O,,,100.0,CHEMBL196776,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CCCCCCCC1(C)SC(O)=C(C)C1=O,,,1000.0,CHEMBL200240,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CC1=C(O)C(C)(CCc2ccccc2)SC1=O,,,1000.0,CHEMBL199900,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CC1=C(O)C(C)(CCCc2ccccc2)SC1=O,,,1000.0,CHEMBL201423,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
COc1cc(CC2(C)SC(O)=C(C)C2=O)cc(OC)c1,,,1000.0,CHEMBL202817,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CC1=C(O)C(C)(Cc2c(C)cc(C)cc2C)SC1=O,,,1000.0,CHEMBL201261,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CC1=C(O)C(C)(Cc2cc(C)ccc2C)SC1=O,,,1000.0,CHEMBL379235,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CC1=C(O)C(C)(Cc2cccc(C)c2)SC1=O,,,1000.0,CHEMBL371660,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CC1=C(O)C(C)(Cc2ccccc2C)SC1=O,,,1000.0,CHEMBL381712,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CC1=C(O)C(C)(Cc2cccc(C(F)(F)F)c2)SC1=O,,,1000.0,CHEMBL201541,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CC1=C(O)SC(C)(C(C)c2ccccc2)C1=O,,,1000.0,CHEMBL201752,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CC1=C(O)C(C)(Cc2ccc3ccccc3c2)SC1=O,,,1000.0,CHEMBL381559,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CC1=C(O)C(C)(Cc2ccc(C(C)(C)C)cc2)SC1=O,,,1000.0,CHEMBL333571,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CC1=C(O)C(C)(Cc2c(Cl)cccc2Cl)SC1=O,,,1000.0,CHEMBL199977,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CC1=C(O)C(C)(Cc2ccc(F)cc2)SC1=O,,,1000.0,CHEMBL381684,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CC1=C(O)C(C)(Cc2ccc(Cl)cc2)SC1=O,,,1000.0,CHEMBL382958,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CC1=C(O)C(C)(Cc2ccccc2Cl)SC1=O,,,1000.0,CHEMBL436318,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
COc1cccc(CC2(C)SC(O)=C(C)C2=O)c1,,,1000.0,CHEMBL123184,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
COc1ccccc1CC1(C)SC(O)=C(C)C1=O,,,1000.0,CHEMBL199810,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CC1=C(O)C(C)(Cc2cccc(Cl)c2)SC1=O,,,1000.0,CHEMBL201711,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
COc1ccc(CC2(C)SC(O)=C(C)C2=O)cc1,,,1000.0,CHEMBL333467,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CC1=C(O)C(C)(Cc2ccc(C)cc2)SC1=O,,,1000.0,CHEMBL432983,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CC1=C(O)C(C)(Cc2ccc([N+](=O)[O-])cc2)SC1=O,,,1000.0,CHEMBL203154,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
C=CCCC1(C)SC(=O)C(C)=C1O,,,1000.0,CHEMBL380904,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
C=CCCCCCCC1(C)SC(=O)C(C)=C1O,,,1000.0,CHEMBL383537,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CC/C=C/CC1(C)SC(O)=C(C)C1=O,,,1000.0,CHEMBL199428,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CC1=C(O)C(C)(CC2CCCCC2)SC1=O,,,1000.0,CHEMBL198344,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CC1=C(O)C(C)(CC2CCC2)SC1=O,,,1000.0,CHEMBL373005,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CCCCCCCCCCC(C)C1(C)SC(O)=C(C)C1=O,"{'bei': '12.80', 'le': '0.26', 'lle': '-2.02', 'sei': '10.72'}",4.0,100.0,CHEMBL199976,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CCCCCCCCC(C)C1(C)SC(O)=C(C)C1=O,,,1000.0,CHEMBL199516,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CCCCCC(C)C1(C)SC(O)=C(C)C1=O,,,1000.0,CHEMBL199463,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CCCCC(CC)CC1(C)SC(O)=C(C)C1=O,,,1000.0,CHEMBL201227,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CC1=C(O)SC(C)(CCC(C)C)C1=O,,,1000.0,CHEMBL202928,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CCCCCCCCCCCC1(C)SC(O)=C(C)C1=O,,,100.0,CHEMBL372341,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CCCCCCCCCC1(C)SC(O)=C(C)C1=O,,,100.0,CHEMBL200363,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
S=C1SCCN1Cc1ccccc1,,,100.0,CHEMBL394409,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
O=C1N(Cc2ccc(Oc3ccc(C4CCCC4)cc3)cc2)CCS1(=O)=O,"{'bei': '14.58', 'le': '0.28', 'lle': '1.13', 'sei': '8.83'}",5.62,2.4,CHEMBL234754,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
O=C1SCCN1Cc1ccc(Oc2ccc(C3CCCC3)cc2)cc1,"{'bei': '13.70', 'le': '0.26', 'lle': '-0.97', 'sei': '16.39'}",4.84,14.4,CHEMBL393088,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
S=C1SCCN1Cc1ccc(Oc2ccc(C3CCCC3)cc2)cc1,"{'bei': '12.86', 'le': '0.26', 'lle': '-1.22', 'sei': '38.11'}",4.75,17.7,CHEMBL234753,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
O=C1N(Cc2ccc(Oc3ccccc3)cc2)CCS1(=O)=O,"{'bei': '19.05', 'le': '0.38', 'lle': '3.22', 'sei': '9.49'}",6.05,0.9,CHEMBL391599,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
O=C1SCCN1Cc1ccc(Oc2ccccc2)cc1,"{'bei': '17.39', 'le': '0.34', 'lle': '0.81', 'sei': '16.80'}",4.96,10.9,CHEMBL234545,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
S=C1SCCN1Cc1ccc(Oc2ccccc2)cc1,,,100.0,CHEMBL232480,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
O=C1SCCN1Cc1cccnc1,"{'bei': '24.11', 'le': '0.49', 'lle': '2.93', 'sei': '14.11'}",4.68,20.7,CHEMBL398054,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
S=C1SCCN1Cc1cccnc1,,,100.0,CHEMBL232479,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CCCN1CCS(=O)(=O)C1=O,,,100.0,CHEMBL397860,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CCCN1CCSC1=S,,,100.0,CHEMBL232277,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CN1CCS(=O)(=O)C1=O,,,100.0,CHEMBL232276,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
CN1CCSC1=S,,,100.0,CHEMBL397404,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
O=C1N(CCc2ccccc2)CCS1(=O)=O,"{'bei': '23.91', 'le': '0.49', 'lle': '4.64', 'sei': '10.51'}",5.72,1.9,CHEMBL397859,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
S=C1SCCN1CCc1ccccc1,,,100.0,CHEMBL232274,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
O=C1N(Cc2ccccc2)CCS1(=O)=O,"{'bei': '26.45', 'le': '0.54', 'lle': '4.92', 'sei': '10.94'}",5.96,1.1,CHEMBL233867,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
O=C1SCCN1Cc1ccccc1,"{'bei': '25.16', 'le': '0.51', 'lle': '2.50', 'sei': '23.95'}",4.86,13.7,CHEMBL396081,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
Oc1c(Br)cc(Br)cc1/C=N/Nc1nc(-c2ccc(Cl)c(Cl)c2)cs1,"{'bei': '10.43', 'le': '0.30', 'lle': '-1.35', 'sei': '9.47'}",5.44,3.6,CHEMBL569183,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
Oc1ccc(Br)cc1/C=N/Nc1nc(-c2ccc(Cl)cc2)cs1,"{'bei': '12.64', 'le': '0.31', 'lle': '-0.21', 'sei': '8.99'}",5.17,6.8,CHEMBL571253,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
Oc1ccc(Cl)cc1/C=N/Nc1nc(-c2ccc(Cl)cc2)cs1,"{'bei': '13.54', 'le': '0.29', 'lle': '-0.34', 'sei': '8.58'}",4.93,11.7,CHEMBL568263,CHEMBL1795135,3-oxoacyl-[acyl-carrier-protein] synthase 3,Escherichia coli
